Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location of event,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Type of education facility,Attacks on Schools,Attacks on Universities,Military Occupation of Education facility,Arson attack on education facility,Forced Entry into education facility,Damage/Destruction To Ed facility Event,Attacks on Students and Teachers,Educators Killed,Educators Injured,Educators Kidnapped,Educators Arrested,Known Educators Kidnap Or Arrest Outcome,Students Attacked in School,Students Killed,Students Injured,Students Kidnapped,Known Student Kidnap Or Arrest Outcome,Students Arrested,Sexual Violence Affecting School Age Children,SiND Event ID,Date Event Entered,Date Event Modified
2023-07-12,,Myanmar,MMR,Shan State,,,censored,Home,Other,People's Defence Force (Myanmar),Knife,Not Applicable,0,0,0,0,0,0,False,1,0,0,0,,0,0,0,0,,0,0,40795,2023-10-04,2025-01-10
2023-07-12,,Myanmar,MMR,Sagaing Region,,,censored,Home,Other,People's Defence Force (Myanmar),Firearms,Not Applicable,0,0,0,0,0,0,False,1,0,0,0,,0,0,0,0,,0,0,40796,2023-10-04,2024-11-24
2023-07-12,,Myanmar,MMR,Sagaing Region,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Shelling,School: No Further Details,0,0,1,0,0,0,False,0,0,0,0,,0,0,0,0,,0,0,40797,2023-10-04,2024-11-24
2023-07-12,,Pakistan,PAK,Sindh,,,censored,Unspecified Location,Police,Pakistan Police,Knife,Not Applicable,0,0,0,0,0,0,False,0,1,0,19,NoInformation,0,0,0,0,,0,0,66332,2024-08-20,2026-03-10
2023-07-12,,Kenya,KEN,Coast,,,censored,Education Building ,NSA,Al-Shabaab,Firearms,Primary School,1,0,0,0,0,0,True,0,0,0,0,,1,0,0,0,,0,0,83867,2024-09-30,2026-03-10
2023-07-11,,Myanmar,MMR,Rakhine,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,40773,2023-10-03,2024-11-24
2023-07-11,,Myanmar,MMR,Magway,,,censored,Education Building ,Other,People's Defence Force (Myanmar),Unspecified Explosive,School: No Further Details,1,0,0,0,0,0,False,0,0,0,0,,0,0,0,0,,0,0,40774,2023-10-03,2025-01-29
2023-07-11,,Myanmar,MMR,Sagaing Region,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Unspecified Explosive,Secondary School,1,0,0,0,0,1,True,0,0,0,0,,2,0,1,0,,0,0,40775,2023-10-03,2025-01-29
2023-07-11,,Myanmar,MMR,Sagaing Region,,,censored,Unspecified Location,Government: Military,Myanmar Armed Forces,Firearms,Not Applicable,0,0,0,0,0,0,False,0,0,0,1,StillInCaptivity,0,0,0,0,,0,0,40777,2023-10-03,2025-01-10
2023-07-11,,Myanmar,MMR,Mon State,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Artillery,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,40778,2023-10-03,2024-11-24
2023-07-09,,Ukraine,UKR,Dnipropetrovsk Oblast,,,censored,Remote Threat,No Information,No Information,Not Applicable: No Direct Violence,School: No Further Details,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,0,,0,0,39878,2023-08-01,2024-11-24
2023-07-09,,China,CHN,Guangdong Province,,,censored,Education Building ,NSA,Unidentified Armed Actor,Knife,Pre-School,1,0,0,0,1,0,True,1,0,0,0,,6,3,0,0,,0,0,40765,2023-10-03,2024-11-24
2023-07-09,,Myanmar,MMR,Chin,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Artillery,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,40772,2023-10-03,2024-11-24
2023-07-09,,Yemen,YEM,Lahij Governorate,,,censored,Education Building ,Government: Military,Yemen Armed Forces,Firearms,School: No Further Details,1,0,0,0,0,0,True,0,0,0,1,NoInformation,0,0,0,0,,0,0,61383,2024-08-03,2026-03-10
2023-07-08,,Myanmar,MMR,Chin,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,40770,2023-10-03,2024-11-24
2023-07-07,,Myanmar,MMR,Kayah State,,,censored,Other,Government: Military,Myanmar Armed Forces,Firearms,Not Applicable,0,0,0,0,0,0,False,0,0,0,1,Freed,0,0,0,0,,0,0,39941,2023-08-05,2025-01-10
2023-07-07,,Myanmar,MMR,Mandalay,,,censored,Education Building ,Other,People's Defence Force (Myanmar),Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,40767,2023-10-03,2024-11-24
2023-07-06,,South Sudan,SSD,Central Equatoria,,,censored,Education Building ,NSA,Dinka Soldiers,Firearms,Secondary School,1,0,0,0,1,0,False,0,0,0,0,,0,0,0,0,,0,0,40654,2023-09-29,2025-01-10
